StnID,Lat,Lon,Elev,State/Province,Name,WMO_ID,Sample_Interval (min),UTC_Offset,POR_Date_Range,PCT_POR_Good,Last_Half_POR,PCT_Last_Half_Good,Last_Qtr_POR,PCT_Last_Qtr_Good
USC00023009,35.1611,-111.7311,2171.7,AZ,FLAGSTAFF 4 SW,,15,-7,20030317-20200930, 64.1%,20111223-20200930, 85.9%,20160512-20200930, 99.1%
USC00024534,31.8352,-110.3552,1429.5,AZ,KARTCHNER CAVERNS,,15,-7,20100302-20201001, 81.8%,20150617-20201001, 92.9%,20180207-20201001, 95.4%
USC00024586,35.8109,-110.1932,1891.3,AZ,KEAMS CANYON,,15,-7,19480701-20160817, 84.4%,19820725-20160817, 78.9%,19990806-20160817, 77.5%
USC00025344,34.3709,-112.1827,1252.1,AZ,MAYER NO. 2,,15,-7,19861201-20200903, 84.8%,20031018-20200903, 85.2%,20120326-20200903, 84.8%
USC00025635,34.6105,-111.8380,969.3,AZ,MONTEZUMA CASTLE NM,,15,-7,19790719-20200903, 86.7%,20000210-20200903, 80.3%,20100523-20200903, 69.2%
USC00025924,31.4554,-110.9680,1054.9,AZ,NOGALES 6 N,,15,-7,19830902-20201005, 79.9%,20020320-20201005, 66.8%,20110628-20201005, 87.7%
USC00026037,34.9599,-111.7553,1560.0,AZ,OAK CREEK CANYON,,15,-7,20160814-20200713, 89.9%,20180729-20200713, 91.6%,20190721-20200713, 99.7%
USC00026117,32.6100,-110.7317,1400.6,AZ,ORACLE STATE PARK,,15,-7,20130815-20201005, 92.3%,20170311-20201005, 99.2%,20181223-20201005, 98.5%
USC00026119,32.6025,-110.7344,1374.6,AZ,ORACLE 2 SE,,15,-7,19500224-20100407, 84.4%,19800316-20100407, 77.4%,19950327-20100407, 60.9%
USC00026468,34.7994,-109.8850,1659.9,AZ,PETRIFIED FOREST NP,,15,-7,19480701-20200901, 87.5%,19840801-20200901, 82.2%,20020817-20200901, 86.6%
USC00027708,34.8955,-111.7644,1286.3,AZ,SEDONA,,15,-7,19730412-20100901, 85.6%,19911222-20100901, 82.1%,20010427-20100901, 84.4%
USC00027876,33.7986,-110.9714,1554.5,AZ,SIERRA ANCHA,,15,-7,19760101-20200909, 79.9%,19980506-20200909, 70.6%,20090708-20200909, 82.6%
USC00029158,34.9281,-112.8097,1551.4,AZ,WALNUT CREEK,,15,-7,19790720-20200901, 83.4%,20000209-20200901, 86.5%,20100522-20200901, 85.2%
USC00029271,33.8215,-109.9840,1575.8,AZ,WHITERIVER 1 SW,,15,-7,19480701-20110920, 90.6%,19800209-20110920, 84.1%,19951130-20110920, 80.2%
USC00030064,35.9307,-91.0550,78.6,AR,ALICIA 2NNE,,15,-6,19480529-20200904, 87.8%,19840717-20200904, 85.3%,20020811-20200904, 92.4%
USC00030130,34.7961,-92.8417,212.8,AR,ALUM FORK,,15,-6,19480501-20200901, 91.9%,19840701-20200901, 90.0%,20020801-20200901, 95.3%
USC00030178,34.0275,-93.4332,91.4,AR,ANTOINE 1 SW,,15,-6,19500810-20200902, 85.7%,19850821-20200902, 77.2%,20030226-20200902, 74.3%
USC00030220,34.1433,-93.0589,59.7,AR,ARKADELPHIA 2 N,,15,-6,19480501-20200918, 91.3%,19840710-20200918, 84.2%,20020814-20200918, 73.2%
USC00030326,35.2894,-91.3533,59.4,AR,AUGUSTA,,15,-6,19480501-20200703, 86.5%,19840601-20200703, 84.8%,20020617-20200703, 84.4%
USC00030458,35.8306,-91.7944,174.0,AR,BATESVILLE LVSTK,,15,-6,19490801-20200901, 94.0%,19850215-20200901, 94.0%,20021124-20200901, 95.1%
USC00030530,35.0644,-91.8961,76.2,AR,BEEBE,,15,-6,19480501-20200903, 87.5%,19840702-20200903, 90.7%,20020803-20200903, 94.1%
USC00030616,36.4294,-93.6255,359.7,AR,BERRYVILLE 5 NW,,15,-6,19480501-20141126, 94.5%,19810813-20141126, 91.4%,19980405-20141126, 86.9%
USC00030764,34.5697,-93.1947,129.8,AR,BLAKELY MOUNTAIN DAM,,15,-6,19500501-20200902, 87.4%,19850702-20200902, 82.3%,20030201-20200902, 87.4%
USC00030798,35.1161,-93.6506,129.8,AR,BLUE MOUNTAIN DAM,,15,-6,19480501-20200901, 95.6%,19840701-20200901, 92.9%,20020801-20200901, 93.2%
USC00030832,35.0930,-93.9258,182.9,AR,BOONEVILLE 3 SSE,,15,-6,19780406-20200903, 89.3%,19990620-20200903, 85.8%,20100126-20200903, 84.2%
USC00030842,35.7264,-92.4672,387.4,AR,BOTKINBURG 3 NE,,15,-6,19480501-20200801, 88.3%,19840616-20200801, 83.0%,20020709-20200801, 91.3%
USC00030900,34.9458,-93.4637,140.2,AR,BRIGGSVILLE,,15,-6,19851101-20181023, 82.8%,20020428-20181023, 76.3%,20100726-20181023, 63.5%
USC00030936,34.8822,-91.2152,56.4,AR,BRINKLEY,,15,-6,19480501-20170922, 90.6%,19830111-20170922, 85.8%,20000517-20170922, 82.4%
USC00031020,36.3647,-92.5781,146.3,AR,BULL SHOALS DAM,,15,-6,19480501-20200901, 89.8%,19840701-20200901, 84.1%,20020801-20200901, 73.8%
USC00031140,33.3063,-92.4832,23.5,AR,CALION LOCK & DAM,,15,-6,19851001-20200901, 78.6%,20030318-20200901, 70.1%,20111209-20200901, 69.6%
USC00031152,33.5900,-92.8236,35.4,AR,CAMDEN 1,,15,-6,19660427-20200127, 82.9%,19930312-20200127, 73.6%,20060819-20200127, 58.4%
USC00031457,35.5328,-93.4036,259.1,AR,CLARKSVILLE 6 NE,,15,-6,19611201-20200902, 88.7%,19910418-20200902, 83.2%,20051225-20200902, 91.9%
USC00031582,36.0913,-93.3208,648.9,AR,COMPTON,,15,-6,19480501-20200902, 90.5%,19840702-20200902, 85.1%,20020802-20200902, 81.8%
USC00031632,36.4197,-90.5858,91.4,AR,CORNING,,15,-6,19480501-20200916, 82.4%,19840709-20200916, 79.1%,20020813-20200916, 83.4%
USC00031948,34.0463,-94.3480,124.1,AR,DEQUEEN,,15,-6,20080310-20200728, 79.6%,20140519-20200728, 94.9%,20170623-20200728, 96.5%
USC00031952,34.1002,-94.3724,169.8,AR,DE QUEEN DAM,,15,-6,19730503-20080205, 89.2%,19900919-20080205, 81.9%,19990529-20080205, 79.7%
USC00032015,34.1266,-94.0172,143.3,AR,DIERKS,,15,-6,20051220-20200902, 79.6%,20130427-20200902, 86.9%,20161229-20200902, 95.6%
USC00032148,33.8885,-91.5316,49.7,AR,DUMAS,,15,-6,19610201-20191118, 83.8%,19900626-20191118, 71.0%,20050307-20191118, 55.0%
USC00032356,36.4163,-93.7916,432.8,AR,EUREKA SPRINGS 3 WNW,,15,-6,19490701-20120925, 96.4%,19810211-20120925, 95.2%,19961203-20120925, 92.4%
USC00032444,36.1010,-94.1737,387.1,AR,FAYETTEVILLE EXP STA,,15,-6,19660413-20200904, 86.7%,19930624-20200904, 79.5%,20070129-20200904, 80.6%
USC00032489,34.7594,-92.4553,150.0,AR,FERNDALE 6 E,,15,-6,19810504-20200625, 91.3%,20001128-20200625, 95.3%,20100911-20200625, 99.1%
USC00032544,33.7222,-94.3975,128.9,AR,FOREMAN,,15,-6,19480501-20200902, 83.3%,19840702-20200902, 77.8%,20020802-20200902, 77.1%
USC00032794,35.9885,-92.7161,184.7,AR,GILBERT,,15,-6,19480501-20200902, 95.0%,19840702-20200902, 91.5%,20020802-20200902, 92.1%
USC00032978,35.5206,-91.9997,160.6,AR,GREERS FERRY DAM,,15,-6,19650201-20200901, 95.3%,19921116-20200901, 94.4%,20061009-20200901, 96.4%
USC00033132,36.2747,-91.5056,121.9,AR,HARDY,,15,-6,19480501-20200920, 74.0%,19840711-20200920, 71.7%,20020816-20200920, 60.6%
USC00033544,36.0700,-93.7522,543.5,AR,HUNTSVILLE 1 SSW,,15,-6,19830501-20120925, 90.1%,19980112-20120925, 88.6%,20050520-20120925, 90.0%
USC00034185,33.3613,-93.5674,103.6,AR,LEWISVILLE,,15,-6,19910401-20200901, 88.7%,20051216-20200901, 82.1%,20130424-20200901, 92.7%
USC00034548,33.2586,-93.1822,113.4,AR,MAGNOLIA,,15,-6,19480501-20200907, 50.5%,19840704-20200907, 75.5%,20020806-20200907, 74.4%
USC00034756,34.5979,-94.2900,351.1,AR,MENA,,15,-6,19480501-20200901, 94.5%,19840701-20200901, 91.1%,20020801-20200901, 93.6%
USC00034839,33.6772,-93.9902,96.3,AR,MILLWOOD DAM,,15,-6,19630711-20200728, 84.8%,19920118-20200728, 75.7%,20060423-20200728, 70.3%
USC00035110,34.1452,-93.7138,132.6,AR,NARROWS DAM,,15,-6,19500501-20200107, 90.3%,19850304-20200107, 88.6%,20020805-20200107, 94.2%
USC00035112,33.9293,-93.8507,121.9,AR,NASHVILLE,,15,-6,19660301-20200906, 89.3%,19930603-20200906, 80.5%,20070119-20200906, 69.3%
USC00035200,34.9553,-93.1594,146.3,AR,NIMROD DAM,,15,-6,19480501-20200904, 91.4%,19840703-20200904, 85.1%,20020804-20200904, 89.6%
USC00035228,36.2494,-92.2383,129.5,AR,NORFORK DAM,,15,-6,19480501-20200824, 90.5%,19840627-20200824, 85.2%,20020726-20200824, 77.6%
USW00003952,34.8353,-92.2596,171.6,AR,NORTH LITTLE ROCK WFO,72340,15,-6,19760101-20200901, 98.3%,19980502-20200901, 96.7%,20090702-20200901, 94.9%
USC00035602,35.9547,-93.2405,274.3,AR,PARTHENON,,15,-6,19480501-20150901, 88.4%,19811231-20150901, 79.2%,19981031-20150901, 81.4%
USC00035754,34.2255,-92.0185,70.1,AR,PINE BLUFF,,15,-6,19530101-20200908, 88.3%,19861105-20200908, 79.2%,20031007-20200908, 74.3%
USC00035908,33.8204,-93.3879,93.9,AR,PRESCOTT 2 NNW,,15,-6,19820801-20200810, 75.4%,20010805-20200810, 57.4%,20110206-20200810, 54.6%
USC00036393,35.8236,-93.7672,423.7,AR,ST. PAUL 1 E,,15,-6,19880301-20200402, 81.4%,20040317-20200402, 86.5%,20120325-20200402, 80.7%
USC00036403,36.3561,-91.8036,207.3,AR,SALEM,,15,-6,19870901-20120602, 41.4%,20000116-20120602, 16.0%,20060325-20120602,  1.3%
USC00036405,36.4261,-91.9158,274.3,AR,SALEM NO 2,,15,-6,20020401-20200901, 86.9%,20110617-20200901, 81.0%,20160124-20200901, 83.1%
USC00036920,34.4744,-91.4172,60.4,AR,STUTTGART 9 ESE,,15,-6,19480601-20200901, 95.5%,19840717-20200901, 92.5%,20020809-20200901, 95.8%
USC00037488,34.9229,-94.0944,218.2,AR,WALDRON,,15,-6,19480501-20200302, 89.8%,19840401-20200302, 80.8%,20020317-20200302, 79.5%
USC00038052,35.2547,-90.7965,79.2,AR,WYNNE,,15,-6,19790613-20200902, 89.0%,20000122-20200902, 87.6%,20100513-20200902, 91.9%
USC00040161,41.4901,-120.5437,1334.4,CA,ALTURAS,,15,-8,19480701-20200802, 92.0%,19840717-20200802, 87.9%,20020725-20200802, 78.9%
USC00040212,38.5730,-122.4405,522.7,CA,ANGWIN PACIFIC UNION COLLEGE,,15,-8,19671103-20200901, 87.0%,19940403-20200901, 88.3%,20070618-20200901, 87.2%
USC00040321,35.1844,-120.3980,282.5,CA,ARROYO GRANDE 11 ENE,,15,-8,19940107-20201015, 88.9%,20070528-20201015, 92.1%,20140204-20201015, 99.1%
USC00040322,36.2355,-121.4800,286.5,CA,ARROYO SECO,,15,-8,19481201-20180501, 88.1%,19830816-20180501, 82.2%,20001222-20180501, 92.0%
USC00040449,36.9092,-119.0883,528.8,CA,BALCH POWER HOUSE,,15,-8,19500201-20200801, 89.0%,19850502-20200801, 82.2%,20021216-20200801, 84.6%
USC00040546,40.3983,-122.1452,128.0,CA,BATTLE CREEK ADR,,15,-8,19710701-20200902, 84.4%,19960131-20200902, 83.6%,20080517-20200902, 92.1%
USC00040731,41.1208,-121.1347,1257.3,CA,BIEBER,,15,-8,19480701-20200901, 83.2%,19840801-20200901, 72.1%,20020817-20200901, 81.7%
USC00040742,34.2414,-116.9751,2077.2,CA,BIG BEAR LAKE DAM,,15,-8,19480701-20200611, 79.2%,19840621-20200611, 70.2%,20020616-20200611, 62.2%
USC00040790,36.2472,-121.7802,61.0,CA,BIG SUR STATION,,15,-8,19961202-20200902, 80.8%,20081017-20200902, 88.7%,20140925-20200902, 85.9%
USC00040883,38.9091,-120.6677,1345.4,CA,BLODGETT EXPER FOREST,,15,-8,19691001-20200902, 90.9%,19950318-20200902, 94.3%,20071210-20200902, 95.7%
USC00041005,37.1422,-122.1963,662.9,CA,BOULDER CR LOCAT RCH,,15,-8,19480701-20200802, 94.2%,19840717-20200802, 92.0%,20020725-20200802, 91.5%
USC00041018,39.4539,-120.6556,1641.3,CA,BOWMAN DAM,,15,-8,19480701-20160601, 85.0%,19820616-20160601, 79.7%,19990609-20160601, 77.1%
USC00041076,38.2505,-119.2161,1963.2,CA,BRIDGEPORT R.S.,,15,-8,19500609-20200906, 65.6%,19850723-20200906, 55.2%,20030213-20200906, 56.1%
USC00041130,39.6949,-121.3452,1085.1,CA,BRUSH CREEK RANGER STATION,,15,-8,19480701-20200812, 80.1%,19840722-20200812, 75.2%,20020802-20200812, 90.0%
USC00041142,35.7989,-121.0939,281.9,CA,BRYSON,,15,-8,19480701-20200801, 91.8%,19840716-20200801, 86.1%,20020724-20200801, 90.6%
USC00041194,34.1866,-118.3480,199.6,CA,BURBANK VALLEY PUMP PLANT,,15,-8,19480701-20201001, 93.0%,19840816-20201001, 87.3%,20020908-20201001, 89.2%
USC00041272,34.3899,-117.5758,1463.0,CA,CAJON WEST SUMMIT,,15,-8,19480701-20200615, 83.0%,19840623-20200615, 70.0%,20020619-20200615, 60.0%
USC00041277,38.2769,-120.3113,1431.0,CA,CALAVERAS BIG TREES,,15,-8,19860710-20200902, 87.2%,20030806-20200902, 93.1%,20120218-20200902, 93.2%
USC00041369,34.1491,-116.9802,1758.7,CA,CAMP ANGELUS,,15,-8,19480701-20200611, 87.0%,19840621-20200611, 82.1%,20020616-20200611, 67.6%
USC00041428,38.2486,-120.8433,200.6,CA,CAMP PARDEE,,15,-8,19480701-20200903, 96.1%,19840802-20200903, 94.5%,20020818-20200903, 95.6%
USC00041460,39.4397,-121.0712,762.0,CA,CAMPTONVILLE 1SW,,15,-8,19950210-20200901, 93.5%,20071121-20200901, 98.5%,20140412-20200901, 99.9%
USC00041497,40.1705,-121.0886,1389.9,CA,CANYON DAM,,15,-8,19751017-20200902, 88.3%,19980326-20200902, 88.3%,20090614-20200902, 94.2%
USC00041715,39.6911,-121.8211,56.4,CA,CHICO UNIVERSITY FARM,,15,-8,19480701-20200910, 92.1%,19840805-20200910, 92.3%,20020823-20200910, 96.4%
USC00041864,36.1356,-120.3606,204.2,CA,COALINGA,,15,-8,19480701-20200801, 50.2%,19840716-20200801, 79.1%,20020724-20200801, 81.6%
USC00041886,41.0894,-122.7086,762.9,CA,COFFEE CREEK RS,,15,-8,19601109-20200907, 82.3%,19901009-20200907, 71.5%,20050923-20200907, 73.0%
USC00042012,36.0975,-119.5817,61.0,CA,CORCORAN IRRIGATION DIST.,,15,-8,19560119-20190605, 85.7%,19870927-20190605, 73.1%,20030801-20190605, 64.7%
USC00042048,36.9897,-121.8050,82.3,CA,CORRALITOS,,15,-8,19580415-20200902, 75.8%,19890624-20200902, 82.3%,20050127-20200902, 77.8%
USC00042084,39.8261,-123.0850,462.4,CA,COVELO EEL RIVER RS,,15,-8,19480701-20190709, 79.4%,19840104-20190709, 68.2%,20011006-20190709, 65.2%
USC00042164,34.2393,-117.2988,1484.4,CA,CRESTLINE,,15,-8,19660418-20200615, 75.3%,19930517-20200615, 61.0%,20061130-20200615, 56.0%
USC00042239,32.9897,-116.5872,1414.3,CA,CUYAMACA,,15,-8,19670822-20190601, 81.5%,19930711-20190601, 66.8%,20060621-20190601, 60.6%
USC00042294,38.5349,-121.7761,18.3,CA,DAVIS 2 WSW EXP FARM,,15,-8,19480701-20200910, 91.4%,19840805-20200910, 86.4%,20020823-20200910, 78.8%
USC00042306,41.2115,-121.3738,1113.4,CA,DAY,,15,-8,19480701-20201001, 91.7%,19840816-20201001, 87.6%,20020908-20201001, 93.5%
USC00042500,39.5633,-120.8238,888.5,CA,DOWNIEVILLE,,15,-7,19480701-20200903, 93.5%,19840802-20200903, 93.4%,20020818-20200903, 95.0%
USC00042749,41.9880,-123.7183,520.6,CA,ELK VALLEY,,15,-8,19710501-20181101, 79.8%,19950130-20181101, 73.8%,20061216-20181101, 67.4%
USC00042899,41.4574,-122.8994,902.2,CA,ETNA,,15,-8,19480701-20201001, 95.2%,19840816-20201001, 94.1%,20020908-20201001, 93.4%
USC00042935,38.2880,-122.0344,33.5,CA,FAIRFIELD 3 NNE,,15,-8,19720201-20200902, 91.7%,19960518-20200902, 93.1%,20080710-20200902, 95.7%
USC00043038,38.5236,-120.7061,658.4,CA,FIDDLETOWN DEXTER RCH,,15,-8,19480701-20200901, 97.1%,19840801-20200901, 95.5%,20020817-20200901, 95.8%
USC00043161,39.5091,-123.7566,37.5,CA,FORT BRAGG 5 N,,15,-8,19480701-20200102, 81.1%,19840401-20200102, 71.6%,20020215-20200102, 67.0%
USC00043182,41.6010,-122.8478,831.8,CA,FORT JONES RS,,15,-8,19761117-20201001, 88.8%,19981025-20201001, 94.4%,20091013-20201001, 96.1%
USC00043194,40.2183,-123.6322,67.1,CA,FORT SEWARD,,15,-8,19720801-20200820, 66.6%,19960810-20200820, 74.0%,20080815-20200820, 84.9%
USC00043219,34.7333,-119.1038,1575.5,CA,FRAZIER PARK 9 SW,,15,-8,19940307-20201007, 95.8%,20070622-20201007, 97.3%,20140213-20201007, 99.5%
USC00043357,41.8452,-123.9647,118.0,CA,GASQUET RS,,15,-8,19710301-20201003, 82.8%,19951217-20201003, 82.4%,20080510-20201003, 84.6%
USC00043384,38.9330,-120.8008,914.7,CA,GEORGETOWN RS,,15,-8,19671101-20200901, 82.6%,19940402-20200901, 86.5%,20070617-20200901, 91.0%
USC00043402,34.5225,-119.6822,474.9,CA,GIBRALTAR DAM NO. 2,,15,-8,19700501-20201007, 95.1%,19950720-20201007, 94.6%,20080227-20201007, 95.2%
USC00043417,37.0030,-121.5608,59.1,CA,GILROY,,15,-8,20190328-20200731, 66.5%,20191128-20200731, 66.0%,20200330-20200731, 62.1%
USC00043419,37.0327,-121.4316,320.0,CA,GILROY 8 NE,,15,-8,19480701-20200728, 91.9%,19840714-20200728, 86.7%,20020721-20200728, 93.9%
USC00043573,39.2041,-121.0680,731.5,CA,GRASS VALLEY NO. 2,,15,-8,19660913-20200904, 87.8%,19930908-20200904, 80.4%,20070308-20200904, 80.6%
USC00043647,40.4863,-123.9088,125.9,CA,GRIZZLY CREEK STATE PARK,,15,-8,19950702-20121027, 66.1%,20040228-20121027, 67.8%,20080628-20121027, 78.8%
USC00043669,37.8444,-120.2258,853.4,CA,GROVELAND 2,,15,-8,19480701-20200901, 92.8%,19840801-20200901, 87.8%,20020817-20200901, 91.4%
USC00043761,41.7961,-123.3747,348.1,CA,HAPPY CAMP RANGER STATION,,15,-8,19480701-20201022, 87.7%,19840826-20201022, 81.8%,20020924-20201022, 80.9%
USC00043791,40.3636,-122.9650,838.2,CA,HARRISON GULCH RS,,15,-8,19481101-20200806, 86.8%,19840918-20200806, 83.2%,20020828-20200806, 85.6%
USC00043891,39.0583,-120.4150,1478.3,CA,HELL HOLE,,15,-8,19540101-20200901, 69.6%,19870503-20200901, 88.8%,20040101-20200901, 96.8%
USC00043928,36.3052,-120.7047,842.8,CA,HERNANDEZ 7 SE,,15,-8,19480701-20180731, 90.8%,19830716-20180731, 83.9%,20010121-20180731, 81.2%
USC00043939,37.9613,-119.7830,1179.6,CA,HETCH HETCHY,,15,-8,19480701-20200901, 94.0%,19840801-20200901, 91.6%,20020817-20200901, 91.4%
USC00044025,36.8483,-121.4213,83.8,CA,HOLLISTER 2,,15,-8,19480701-20200903, 85.7%,19840802-20200903, 76.2%,20020818-20200903, 93.0%
USC00044074,40.2375,-124.1322,113.7,CA,HONEYDEW 1 SW,,15,-8,19710701-20201008, 67.0%,19960218-20201008, 67.2%,20080613-20201008, 82.2%
USC00044089,41.0483,-123.6755,102.4,CA,HOOPA,,15,-8,19710601-20201002, 87.9%,19960131-20201002, 94.7%,20080601-20201002, 99.2%
USC00044191,40.6161,-123.4566,389.5,CA,HYAMPOM,,15,-8,19480701-20170407, 91.5%,19821118-20170407, 84.7%,20000127-20170407, 81.4%
USC00044232,36.7980,-118.2036,1204.0,CA,INDEPENDENCE,,15,-8,19480701-20190114, 93.1%,19831008-20190114, 88.0%,20010527-20190114, 79.2%
USC00044587,40.6422,-123.9149,744.6,CA,KNEELAND 10 SSE,,15,-8,19540617-20201007, 85.0%,19870812-20201007, 79.5%,20040310-20201007, 87.9%
USC00044689,39.2030,-123.1850,232.9,CA,LAKE MENDOCINO DAM,,15,-8,19720601-20190918, 82.6%,19960124-20190918, 77.0%,20071121-20190918, 78.8%
USC00044712,38.4920,-122.0039,57.0,CA,LAKE SOLANO,,15,-8,19621001-20200904, 93.2%,19910918-20200904, 93.1%,20060312-20200904, 96.8%
USC00044883,39.8744,-123.7205,214.3,CA,LEGGETT,,15,-8,19720801-20200924, 59.7%,19960828-20200924, 61.7%,20080910-20200924, 69.4%
